Rank,NOC,Gold,Silver,Bronze,Total,Year,Host,Total_Weighted_Medals
1,United States,11,7,2,20,1896,0,15.9104
2,Greece,10,18,19,47,1896,1,26.9571
3,Germany,6,5,2,13,1896,0,9.686
4,France,5,4,2,11,1896,0,8.0738
5,Great Britain,2,3,2,7,1896,0,4.4616
6,Hungary,2,1,3,6,1896,0,3.5497
7,Austria,2,1,2,5,1896,0,3.2372
8,Australia,2,0,0,2,1896,0,2
9,Denmark,1,2,3,6,1896,0,3.1619
10,Switzerland,1,2,0,3,1896,0,2.2244
11,Mixed team,1,0,1,2,1896,0,1.3125
1,France,27,39,37,103,1900,1,62.4383
2,United States,19,14,15,48,1900,0,32.2583
3,Great Britain,15,7,9,31,1900,0,22.0979
4,Mixed team,8,5,6,19,1900,0,12.936
5,Belgium,6,7,4,17,1900,0,11.5354
6,Switzerland,6,2,1,9,1900,0,7.5369
7,Germany,4,3,2,9,1900,0,6.4616
8,Italy,3,2,0,5,1900,0,4.2244
9,Australia,2,0,3,5,1900,0,2.9375
10,Denmark,1,3,2,6,1900,0,3.4616
11,Hungary,1,2,2,5,1900,0,2.8494
12,Cuba,1,1,0,2,1900,0,1.6122
13,Canada,1,0,1,2,1900,0,1.3125
14,Spain,1,0,0,1,1900,0,1
14,Luxembourg,1,0,0,1,1900,0,1
16,Austria,0,3,3,6,1900,0,2.7741
17,Norway,0,2,3,5,1900,0,2.1619
17,Netherlands,0,2,3,5,1900,0,2.1619
19,India,0,2,0,2,1900,0,1.2244
20,Bohemia,0,1,1,2,1900,0,0.9247
21,Sweden,0,0,1,1,1900,0,0.3125
1,United States,76,78,77,231,1904,1,147.8141
2,Germany,4,5,6,15,1904,0,8.936
3,Canada,4,1,1,6,1904,0,4.9247
4,Cuba,3,0,0,3,1904,0,3
5,Hungary,2,1,1,4,1904,0,2.9247
5,Mixed team,2,1,1,4,1904,0,2.9247
7,Norway,2,0,0,2,1904,0,2
8,Austria,1,1,1,3,1904,0,1.9247
9,Great Britain,1,1,0,2,1904,0,1.6122
10,Switzerland,1,0,2,3,1904,0,1.625
11,Greece,1,0,1,2,1904,0,1.3125
12,Australia,0,3,1,4,1904,0,2.1491
13,France,0,1,0,1,1904,0,0.6122
1,Great Britain,56,51,39,146,1908,0,99.4097
2,United States,23,12,12,47,1908,0,34.0964
3,Sweden,8,6,11,25,1908,0,15.1107
4,France,5,5,9,19,1908,0,10.8735
5,Germany,3,5,5,13,1908,0,7.6235
6,Hungary,3,4,2,9,1908,0,6.0738
7,Canada,3,3,10,16,1908,0,7.9616
8,Norway,2,3,3,8,1908,0,4.7741
9,Italy,2,2,0,4,1908,0,3.2244
10,Belgium,1,5,2,8,1908,0,4.686
11,Australasia,1,2,2,5,1908,0,2.8494
12,Russian Empire,1,2,0,3,1908,0,2.2244
13,Finland,1,1,3,5,1908,0,2.5497
14,South Africa,1,1,0,2,1908,0,1.6122
15,Greece,0,3,1,4,1908,0,2.1491
16,Denmark,0,2,3,5,1908,0,2.1619
17,Bohemia,0,0,2,2,1908,0,0.625
17,Netherlands,0,0,2,2,1908,0,0.625
19,Austria,0,0,1,1,1908,0,0.3125
1,United States,26,19,19,64,1912,0,43.5693
2,Sweden,23,25,17,65,1912,1,43.6175
3,Great Britain,10,15,16,41,1912,0,24.183
4,Finland,9,8,9,26,1912,0,16.7101
5,France,7,4,3,14,1912,0,10.3863
6,Germany,5,13,7,25,1912,0,15.1461
7,South Africa,4,2,0,6,1912,0,5.2244
8,Norway,3,2,5,10,1912,0,5.7869
9,Canada,3,2,3,8,1912,0,5.1619
9,Hungary,3,2,3,8,1912,0,5.1619
11,Italy,3,1,2,6,1912,0,4.2372
12,Australasia,2,2,3,7,1912,0,4.1619
13,Belgium,2,1,3,6,1912,0,3.5497
14,Denmark,1,6,5,12,1912,0,6.2357
15,Greece,1,0,1,2,1912,0,1.3125
16,Russian Empire,0,2,3,5,1912,0,2.1619
17,Austria,0,2,2,4,1912,0,1.8494
18,Netherlands,0,0,3,3,1912,0,0.9375
1,United States,41,27,27,95,1920,0,65.9669
2,Sweden,19,20,25,64,1920,0,39.0565
3,Finland,15,10,9,34,1920,0,23.9345
4,Great Britain,14,15,13,42,1920,0,27.2455
5,Belgium,14,11,11,36,1920,1,24.1717
6,Norway,13,9,9,31,1920,0,21.3223
7,Italy,13,5,5,23,1920,0,17.6235
8,France,9,19,13,41,1920,0,24.6943
9,Netherlands,4,2,5,11,1920,0,6.7869
10,Denmark,3,9,1,13,1920,0,8.8223
11,South Africa,3,4,3,10,1920,0,6.3863
12,Canada,3,3,3,9,1920,0,5.7741
13,Switzerland,2,2,7,11,1920,0,5.4119
14,Estonia,1,2,0,3,1920,0,2.2244
15,Brazil,1,1,1,3,1920,0,1.9247
16,Australia,0,2,1,3,1920,0,1.5369
17,Japan,0,2,0,2,1920,0,1.2244
17,Spain,0,2,0,2,1920,0,1.2244
19,Greece,0,1,0,1,1920,0,0.6122
19,Luxembourg,0,1,0,1,1920,0,0.6122
21,Czechoslovakia,0,0,2,2,1920,0,0.625
22,New Zealand,0,0,1,1,1920,0,0.3125
1,United States,45,27,27,99,1924,0,69.9669
2,Finland,14,13,10,37,1924,0,25.0836
3,France,13,15,10,38,1924,1,25.308
4,Great Britain,9,13,12,34,1924,0,20.7086
5,Italy,8,3,5,16,1924,0,11.3991
6,Switzerland,7,8,10,25,1924,0,15.0226
7,Norway,5,2,3,10,1924,0,7.1619
8,Sweden,4,13,12,29,1924,0,15.7086
9,Netherlands,4,1,5,10,1924,0,6.1747
10,Belgium,3,7,3,13,1924,0,8.2229
11,Australia,3,1,2,6,1924,0,4.2372
12,Denmark,2,5,2,9,1924,0,5.686
13,Hungary,2,3,4,9,1924,0,5.0866
14,Yugoslavia,2,0,0,2,1924,0,2
15,Czechoslovakia,1,4,5,10,1924,0,5.0113
16,Argentina,1,3,2,6,1924,0,3.4616
17,Estonia,1,1,4,6,1924,0,2.8622
18,South Africa,1,1,1,3,1924,0,1.9247
19,Uruguay,1,0,0,1,1924,0,1
20,Austria,0,3,1,4,1924,0,2.1491
20,Canada,0,3,1,4,1924,0,2.1491
22,Poland,0,1,1,2,1924,0,0.9247
23,Haiti,0,0,1,1,1924,0,0.3125
23,Japan,0,0,1,1,1924,0,0.3125
23,New Zealand,0,0,1,1,1924,0,0.3125
23,Portugal,0,0,1,1,1924,0,0.3125
23,Romania,0,0,1,1,1924,0,0.3125
1,United States,22,18,16,56,1928,0,38.0196
2,Germany,10,7,14,31,1928,0,18.6604
3,Finland,8,8,9,25,1928,0,15.7101
4,Sweden,7,6,12,25,1928,0,14.4232
5,Italy,7,5,7,19,1928,0,12.2485
6,Switzerland,7,4,4,15,1928,0,10.6988
7,France,6,10,5,21,1928,0,13.6845
8,Netherlands,6,9,4,19,1928,1,12.7598
9,Hungary,4,5,0,9,1928,0,7.061
10,Canada,4,4,7,15,1928,0,8.6363
11,Great Britain,3,10,7,20,1928,0,11.3095
