NOC,Year,Sport,Medal,One_sum
Australia,1896,Athletics,Gold,2
Australia,1896,Athletics,No medal,1
Australia,1896,Tennis,Bronze,1
Australia,1896,Tennis,No medal,1
Austria,1896,Cycling,Gold,1
Austria,1896,Cycling,Bronze,2
Austria,1896,Cycling,No medal,1
Austria,1896,Fencing,No medal,1
Austria,1896,Aquatics,Gold,1
Austria,1896,Aquatics,Silver,1
Austria,1896,Aquatics,No medal,1
Denmark,1896,Athletics,No medal,4
Denmark,1896,Fencing,Bronze,1
Denmark,1896,Gymnastics,No medal,1
Denmark,1896,Shooting,Silver,1
Denmark,1896,Shooting,Bronze,2
Denmark,1896,Shooting,No medal,4
Denmark,1896,Weightlifting,Gold,1
Denmark,1896,Weightlifting,Silver,1
France,1896,Athletics,Silver,1
France,1896,Athletics,Bronze,1
France,1896,Athletics,No medal,10
France,1896,Cycling,Gold,4
France,1896,Cycling,Silver,1
France,1896,Cycling,Bronze,1
France,1896,Cycling,No medal,1
France,1896,Fencing,Gold,1
France,1896,Fencing,Silver,2
France,1896,Fencing,No medal,1
France,1896,Gymnastics,No medal,1
France,1896,Shooting,No medal,1
France,1896,Tennis,No medal,1
Germany,1896,Athletics,Silver,1
Germany,1896,Athletics,No medal,13
Germany,1896,Cycling,Silver,1
Germany,1896,Cycling,No medal,9
Germany,1896,Gymnastics,Gold,23
Germany,1896,Gymnastics,Silver,3
Germany,1896,Gymnastics,Bronze,2
Germany,1896,Gymnastics,No medal,38
Germany,1896,Tennis,Gold,1
Germany,1896,Tennis,No medal,1
Germany,1896,Weightlifting,No medal,1
Germany,1896,Wrestling,Gold,1
Great Britain,1896,Athletics,Silver,1
Great Britain,1896,Athletics,Bronze,1
Great Britain,1896,Athletics,No medal,5
Great Britain,1896,Cycling,Silver,1
Great Britain,1896,Cycling,Bronze,1
Great Britain,1896,Cycling,No medal,3
Great Britain,1896,Gymnastics,No medal,1
Great Britain,1896,Shooting,No medal,5
Great Britain,1896,Tennis,Gold,2
Great Britain,1896,Tennis,Bronze,1
Great Britain,1896,Tennis,No medal,1
Great Britain,1896,Weightlifting,Gold,1
Great Britain,1896,Weightlifting,Silver,1
Great Britain,1896,Wrestling,No medal,1
Greece,1896,Athletics,Gold,1
Greece,1896,Athletics,Silver,3
Greece,1896,Athletics,Bronze,6
Greece,1896,Athletics,No medal,26
Greece,1896,Cycling,Gold,1
Greece,1896,Cycling,Silver,3
Greece,1896,Cycling,No medal,11
Greece,1896,Fencing,Gold,2
Greece,1896,Fencing,Silver,1
Greece,1896,Fencing,Bronze,2
Greece,1896,Fencing,No medal,4
Greece,1896,Gymnastics,Gold,2
Greece,1896,Gymnastics,Silver,1
Greece,1896,Gymnastics,Bronze,3
Greece,1896,Gymnastics,No medal,6
Greece,1896,Shooting,Gold,3
Greece,1896,Shooting,Silver,3
