country,year,0,1,2
Afghanistan,2024,0.0,-0.0,-0.0
Albania,2024,0.0,-0.0,-0.0
Algeria,2024,0.0,-0.0,-0.0
Andorra,2024,0.0,-0.0,-0.0
Angola,2024,0.0,-0.0,-0.0
Antigua and Barbuda,2024,0.0,-0.0,-0.0
Argentina,2024,0.0,0.0,0.0
Armenia,2024,0.0,0.0,0.0
Aruba,2024,0.0,-0.0,-0.0
Australasia,2024,0.0,-0.0,-0.0
Australia,2024,14.0,16.0,20.0
Austria,2024,1.0,1.0,1.0
Azerbaijan,2024,0.0,0.0,0.0
Bahamas,2024,0.0,0.0,0.0
Bahrain,2024,0.0,-0.0,-0.0
Bangladesh,2024,0.0,-0.0,-0.0
Barbados,2024,0.0,-0.0,-0.0
Belarus,2024,2.0,2.0,2.0
Belgium,2024,2.0,1.0,2.0
Belize,2024,0.0,-0.0,-0.0
Benin,2024,0.0,-0.0,-0.0
Bermuda,2024,2.0,1.0,2.0
Bhutan,2024,0.0,-0.0,-0.0
Bohemia,2024,0.0,-0.0,-0.0
Bolivia,2024,0.0,-0.0,-0.0
Bosnia and Herzegovina,2024,0.0,-0.0,-0.0
Botswana,2024,0.0,-0.0,-0.0
Brazil,2024,7.0,9.0,9.0
Brunei Darussalam,2024,0.0,-0.0,-0.0
Bulgaria,2024,2.0,3.0,2.0
Burkina Faso,2024,0.0,-0.0,-0.0
Burkina Fasoundi,2024,0.0,-0.0,-0.0
Cabo Verde,2024,0.0,-0.0,-0.0
Cambodia,2024,0.0,-0.0,-0.0
Cameroon,2024,0.0,-0.0,-0.0
Canada,2024,9.0,8.0,15.0
Cayman Islands,2024,0.0,-0.0,-0.0
Central AfriCanada Republic,2024,0.0,-0.0,-0.0
Chad,2024,0.0,-0.0,-0.0
Chile,2024,0.0,-0.0,-0.0
China,2024,34.0,24.0,19.0
Chinese Taipei,2024,1.0,1.0,2.0
Colombia,2024,0.0,0.0,0.0
Comoros,2024,0.0,-0.0,-0.0
Congo,2024,0.0,-0.0,-0.0
Cook Islands,2024,0.0,-0.0,-0.0
Costa Rica,2024,0.0,-0.0,-0.0
Cote d'Ivoire,2024,0.0,-0.0,-0.0
Croatia,2024,1.0,1.0,2.0
Cuba,2024,5.0,1.0,5.0
Cyprus,2024,0.0,-0.0,-0.0
Czech,2024,0.0,-0.0,-0.0
Czechoslovakia,2024,0.0,-0.0,-0.0
Denmark,2024,12.0,15.0,10.0
Djibouti,2024,0.0,-0.0,-0.0
Dominican,2024,0.0,1.0,1.0
Dominicaninica,2024,0.0,-0.0,-0.0
ETH,2024,0.0,-0.0,-0.0
EUN,2024,0.0,-0.0,-0.0
East Germany,2024,0.0,-0.0,-0.0
East Timor,2024,0.0,-0.0,-0.0
Ecuador,2024,1.0,1.0,2.0
Egypt,2024,1.0,2.0,1.0
El Salvador,2024,0.0,-0.0,-0.0
Equatorial Guinea,2024,0.0,-0.0,-0.0
Eritrea,2024,0.0,-0.0,-0.0
Estonia,2024,0.0,0.0,0.0
Ethiopia,2024,0.0,0.0,0.0
Fiji,2024,1.0,3.0,1.0
Finland,2024,0.0,-0.0,-0.0
France,2024,13.0,8.0,10.0
Gabon,2024,0.0,-0.0,-0.0
Gambia,2024,0.0,-0.0,-0.0
Georgia,2024,1.0,1.0,2.0
Germany,2024,23.0,14.0,17.0
Ghana,2024,0.0,-0.0,-0.0
Great Britain,2024,17.0,20.0,17.0
Greece,2024,2.0,3.0,2.0
Grenada,2024,0.0,-0.0,-0.0
Guam,2024,0.0,-0.0,-0.0
Guatemala,2024,0.0,-0.0,-0.0
Guinea,2024,0.0,-0.0,-0.0
Guinea Bissau,2024,0.0,-0.0,-0.0
Guyana,2024,0.0,-0.0,-0.0
Haiti,2024,0.0,-0.0,-0.0
Honduras,2024,0.0,-0.0,-0.0
Hong Kong,2024,0.0,0.0,0.0
Hungary,2024,6.0,7.0,7.0
Iceland,2024,0.0,-0.0,-0.0
India,2024,1.0,1.0,1.0
Indonesia,2024,1.0,1.0,1.0
Iran,2024,1.0,1.0,2.0
Iraq,2024,0.0,-0.0,-0.0
Ireland,2024,1.0,1.0,1.0
Israel,2024,1.0,1.0,2.0
Italy,2024,16.0,12.0,16.0
Jamaica,2024,3.0,4.0,2.0
Japan,2024,13.0,8.0,9.0
Jordan,2024,0.0,-0.0,0.0
Kazakhstan,2024,0.0,0.0,0.0
Kenya,2024,1.0,1.0,1.0
Kiribati,2024,0.0,-0.0,-0.0
Korea,2024,0.0,2.0,2.0
Kosovo,2024,1.0,1.0,1.0
Kuwait,2024,0.0,-0.0,-0.0
Kyrgyzstan,2024,0.0,0.0,0.0
Laos,2024,0.0,-0.0,-0.0
Latvia,2024,0.0,0.0,0.0
Lebanon,2024,0.0,-0.0,-0.0
Lesotho,2024,0.0,-0.0,-0.0
Liberia,2024,0.0,-0.0,-0.0
Libya,2024,0.0,-0.0,-0.0
Liechtenstein,2024,0.0,-0.0,-0.0
Lithuania,2024,0.0,-0.0,-0.0
Luxembourg,2024,0.0,-0.0,-0.0
Macedonia,2024,0.0,-0.0,0.0
Madagascar,2024,0.0,-0.0,-0.0
Malawi,2024,0.0,-0.0,-0.0
Malaysia,2024,0.0,-0.0,-0.0
Maldives,2024,0.0,-0.0,-0.0
Mali,2024,0.0,-0.0,-0.0
Malta,2024,0.0,-0.0,-0.0
Marshall Islands,2024,0.0,-0.0,-0.0
Mauritania,2024,0.0,-0.0,-0.0
Mauritius,2024,0.0,-0.0,-0.0
Mexico,2024,0.0,-0.0,-0.0
Micronesia,2024,0.0,-0.0,-0.0
Moldova,2024,0.0,-0.0,-0.0
Monaco,2024,0.0,-0.0,-0.0
Mongolia,2024,0.0,0.0,0.0
Montenegro,2024,0.0,-0.0,-0.0
Morocco,2024,0.0,0.0,-0.0
Mozambique,2024,0.0,-0.0,-0.0
Myanmar,2024,0.0,-0.0,-0.0
Namibia,2024,0.0,-0.0,-0.0
Nauru,2024,0.0,-0.0,-0.0
Nepal,2024,0.0,-0.0,-0.0
Netherlands,2024,13.0,12.0,15.0
Netherlands Antilles,2024,0.0,-0.0,-0.0
New Zealand,2024,10.0,6.0,12.0
Nicaragua,2024,0.0,-0.0,-0.0
Niger,2024,0.0,-0.0,-0.0
Nigeria,2024,0.0,-0.0,-0.0
North Korea,2024,0.0,-0.0,-0.0
Norway,2024,1.0,1.0,2.0
Oman,2024,0.0,-0.0,-0.0
Pakistan,2024,0.0,-0.0,-0.0
Palau,2024,0.0,-0.0,-0.0
Palestine,2024,0.0,-0.0,-0.0
Panama,2024,0.0,-0.0,-0.0
Papua New Guinea,2024,0.0,-0.0,-0.0
Paraguay,2024,0.0,-0.0,-0.0
Peru,2024,0.0,-0.0,-0.0
Philippines,2024,1.0,1.0,1.0
Poland,2024,3.0,3.0,2.0
Portugal,2024,0.0,0.0,0.0
Puerto Rico,2024,0.0,0.0,-0.0
Qatar,2024,1.0,1.0,1.0
Romania,2024,1.0,1.0,1.0
Russia,2024,2.0,4.0,2.0
Rwanda,2024,0.0,-0.0,-0.0
Saint Kitts and Nevis,2024,0.0,-0.0,-0.0
Saint Lucia,2024,0.0,-0.0,-0.0
Saint Vincent and the Grenadines,2024,0.0,-0.0,-0.0
Samoa,2024,0.0,-0.0,-0.0
San Marino,2024,0.0,-0.0,-0.0
Sao Tome and Princip,2024,0.0,-0.0,-0.0
Saudi Arabia,2024,0.0,-0.0,-0.0
Senegal,2024,0.0,-0.0,-0.0
Serbia,2024,1.0,3.0,3.0
Serbia and Montenegro,2024,0.0,-0.0,-0.0
Seychelles,2024,0.0,-0.0,-0.0
Sierra Leone,2024,0.0,-0.0,-0.0
Singapore,2024,0.0,-0.0,-0.0
Slovakia,2024,0.0,0.0,0.0
Slovenia,2024,1.0,1.0,1.0
Somalia,2024,0.0,-0.0,-0.0
South Africa,2024,-0.0,0.0,-0.0
South Sudan,2024,0.0,-0.0,-0.0
Soviet Union,2024,0.0,-0.0,-0.0
Spain,2024,3.0,6.0,1.0
Sri Lanka,2024,0.0,-0.0,-0.0
Sudan,2024,0.0,-0.0,-0.0
Suriname,2024,0.0,-0.0,-0.0
Swaziland,2024,0.0,-0.0,-0.0
Sweden,2024,2.0,4.0,0.0
Switzerland,2024,2.0,4.0,2.0
Syria,2024,0.0,-0.0,-0.0
Tajikistan,2024,0.0,-0.0,-0.0
Tanzania,2024,0.0,-0.0,-0.0
Thailand,2024,1.0,0.0,1.0
Togo,2024,0.0,-0.0,-0.0
Tonga,2024,0.0,-0.0,-0.0
Trinidad and Tobago,2024,0.0,-0.0,-0.0
Tunisia,2024,0.0,0.0,0.0
Turkey,2024,2.0,1.0,1.0
Turkmenistan,2024,0.0,-0.0,-0.0
Tuvalu,2024,0.0,-0.0,-0.0
Uganda,2024,0.0,0.0,0.0
Ukraine,2024,3.0,5.0,6.0
United Arab Emirates,2024,0.0,-0.0,-0.0
United States,2024,37.0,39.0,34.0
Uruguay,2024,0.0,-0.0,-0.0
Uzbekistan,2024,1.0,0.0,1.0
Vanuatu,2024,0.0,-0.0,-0.0
Venezuela,2024,1.0,1.0,1.0
Vietnam,2024,0.0,-0.0,-0.0
Virgin Islands,2024,0.0,-0.0,-0.0
West Germany,2024,0.0,-0.0,-0.0
Yemen,2024,0.0,-0.0,-0.0
Yugoslavia,2024,0.0,-0.0,-0.0
Yugoslaviaoslavia,2024,0.0,-0.0,-0.0
Zambia,2024,0.0,-0.0,-0.0
Zimbabwe,2024,0.0,-0.0,-0.0
the Solomon,2024,0.0,-0.0,-0.0
Afghanistan,2028,0.0,1.0,1.0
Albania,2028,0.0,1.0,1.0
Algeria,2028,2.0,3.0,2.0
Andorra,2028,0.0,1.0,1.0
Angola,2028,0.0,1.0,1.0
Antigua and Barbuda,2028,0.0,1.0,1.0
Argentina,2028,2.0,3.0,2.0
Armenia,2028,0.0,1.0,1.0
Aruba,2028,0.0,1.0,1.0
Australasia,2028,0.0,1.0,1.0
Australia,2028,17.0,14.0,19.0
Austria,2028,1.0,2.0,1.0
Azerbaijan,2028,2.0,4.0,3.0
Bahamas,2028,0.0,1.0,1.0
Bahrain,2028,2.0,4.0,2.0
Bangladesh,2028,0.0,1.0,1.0
Barbados,2028,0.0,1.0,1.0
Belarus,2028,0.0,1.0,1.0
Belgium,2028,3.0,4.0,4.0
Belize,2028,0.0,1.0,1.0
Benin,2028,0.0,1.0,1.0
Bermuda,2028,0.0,1.0,1.0
Bhutan,2028,0.0,1.0,1.0
Bohemia,2028,0.0,1.0,1.0
Bolivia,2028,0.0,1.0,1.0
Bosnia and Herzegovina,2028,0.0,1.0,1.0
Botswana,2028,2.0,3.0,2.0
Brazil,2028,8.0,9.0,16.0
Brunei Darussalam,2028,0.0,1.0,1.0
Bulgaria,2028,3.0,2.0,4.0
Burkina Faso,2028,0.0,1.0,1.0
Burkina Fasoundi,2028,0.0,1.0,1.0
Cabo Verde,2028,0.0,1.0,1.0
Cambodia,2028,0.0,1.0,1.0
Cameroon,2028,0.0,1.0,1.0
Canada,2028,8.0,7.0,14.0
Cayman Islands,2028,0.0,1.0,1.0
Central AfriCanada Republic,2028,0.0,1.0,1.0
Chad,2028,0.0,1.0,1.0
Chile,2028,2.0,3.0,1.0
China,2028,34.0,26.0,16.0
Chinese Taipei,2028,2.0,4.0,3.0
Colombia,2028,0.0,1.0,1.0
