country,year,gold,silver,bronze
China,2024,40,32,20
United States,2024,39,40,30
Japan,2024,19,10,12
Australia,2024,18,18,21
Great Britain,2024,16,18,15
Italy,2024,15,11,17
Netherlands,2024,15,7,18
Germany,2024,13,9,14
France,2024,18,14,13
South Korea,2024,10,5,8
Canada,2024,7,10,13
Brazil,2024,6,9,7
Spain,2024,6,4,2
Denmark,2024,5,12,6
Hungary,2024,5,7,6
Ukraine,2024,5,5,7
New Zealand,2024,5,4,8
Poland,2024,5,2,5
Jamaica,2024,5,1,3
Switzerland,2024,4,9,5
Serbia,2024,4,3,6
Cuba,2024,4,2,4
Croatia,2024,3,5,3
India,2024,3,3,3
Greece,2024,3,3,2
Israel,2024,3,3,1
Norway,2024,2,5,5
Sweden,2024,2,5,0
Belgium,2024,2,4,4
Egypt,2024,2,4,3
Belarus,2024,2,3,5
Iran,2024,2,3,4
Romania,2024,2,3,3
Turkey,2024,2,3,3
Chinese Taipei,2024,2,3,2
Estonia,2024,2,3,2
Ireland,2024,2,3,2
Kenya,2024,2,3,2
Kosovo,2024,2,3,2
Russia,2024,2,2,5
Austria,2024,2,2,2
Bahamas,2024,2,2,2
Ethiopia,2024,2,2,2
Hong Kong,2024,2,2,2
Portugal,2024,2,2,2
Slovakia,2024,2,2,2
South Africa,2024,2,2,2
Uganda,2024,2,2,2
Bermuda,2024,2,1,2
Morocco,2024,2,1,1
Puerto Rico,2024,2,1,1
Fiji,2024,2,0,1
Bulgaria,2024,1,3,3
Georgia,2024,1,3,2
Indonesia,2024,1,3,2
Uzbekistan,2024,1,3,2
Ecuador,2024,1,2,2
Philippines,2024,1,2,2
Qatar,2024,1,2,2
Slovenia,2024,1,2,2
Thailand,2024,1,2,2
Tunisia,2024,1,2,2
Venezuela,2024,1,2,2
Latvia,2024,1,1,1
Algeria,2024,1,0,2
Tajikistan,2024,0,3,2
Mexico,2024,0,3,1
Dominican Republic,2024,0,2,3
Armenia,2024,0,2,2
Kyrgyzstan,2024,0,2,2
Lithuania,2024,0,2,2
Argentina,2024,0,1,2
Colombia,2024,0,1,2
Kazakhstan,2024,0,1,2
Turkmenistan,2024,0,1,2
Botswana,2024,0,1,2
Moldova,2024,0,1,2
Afghanistan,2024,0,1,1
Albania,2024,0,1,1
Chile,2024,0,1,1
Cyprus,2024,0,1,1
Pakistan,2024,0,1,1
Zambia,2024,0,1,1
Dominican Republic,2024,0,1,0
Jordan,2024,0,1,0
Mongolia,2024,0,1,0
Panama,2024,0,1,0
Grenada,2024,0,0,2
Cabo Verde,2024,0,0,1
Finland,2024,0,0,1
Laos,2024,0,0,1
Malaysia,2024,0,0,1
Peru,2024,0,0,1
Singapore,2024,0,0,1
Andorra,2024,0,0,0
Angola,2024,0,0,0
Antigua and Barbuda,2024,0,0,0
Aruba,2024,0,0,0
Australasia,2024,0,0,0
Azerbaijan,2024,1,2,2
Bahrain,2024,1,2,1
Bangladesh,2024,0,0,0
Barbados,2024,0,0,0
Belize,2024,0,0,0
Benin,2024,0,0,0
Bhutan,2024,0,0,0
Bohemia,2024,0,0,0
Bolivia,2024,0,0,0
Bosnia and Herzegovina,2024,0,0,0
Brunei Darussalam,2024,0,0,0
Burkina Faso,2024,0,0,0
Burkina Fasoundi,2024,0,0,0
Cambodia,2024,0,0,0
Cameroon,2024,0,0,0
Cayman Islands,2024,0,0,0
Central AfriCanada Republic,2024,0,0,0
Chad,2024,0,0,0
Comoros,2024,0,0,0
Congo,2024,0,0,0
Cook Islands,2024,0,0,0
Costa Rica,2024,0,0,0
Cote d'Ivoire,2024,0,0,0
Czech Republic,2024,0,0,0
Czech Republic,2024,0,0,0
Djibouti,2024,0,0,0
ETH,2024,0,0,0
EUN,2024,0,0,0
East Germany,2024,0,0,0
East Timor,2024,0,0,0
El Salvador,2024,0,0,0
Equatorial Guinea,2024,0,0,0
Eritrea,2024,0,0,0
Gabon,2024,0,0,0
Gambia,2024,0,0,0
Ghana,2024,0,0,0
Guam,2024,0,0,0
Guatemala,2024,0,1,1
Guinea,2024,0,0,0
Guinea Bissau,2024,0,0,0
Guyana,2024,0,0,0
Haiti,2024,0,0,0
Honduras,2024,0,0,0
Iceland,2024,0,0,0
Iraq,2024,0,0,0
Kiribati,2024,0,0,0
Kuwait,2024,0,0,0
Lebanon,2024,0,0,0
Lesotho,2024,0,0,0
Liberia,2024,0,0,0
Libya,2024,0,0,0
Liechtenstein,2024,0,0,0
Luxembourg,2024,0,0,0
Macedonia,2024,0,0,0
Madagascar,2024,0,0,0
Malawi,2024,0,0,0
Maldives,2024,0,0,0
Mali,2024,0,0,0
Malta,2024,0,0,0
Marshall Islands,2024,0,0,0
Mauritania,2024,0,0,0
Mauritius,2024,0,0,0
Micronesia,2024,0,0,0
Monaco,2024,0,0,0
Montenegro,2024,0,0,0
Mozambique,2024,0,0,0
Myanmar,2024,0,0,0
Namibia,2024,0,0,0
Nauru,2024,0,0,0
Nepal,2024,0,0,0
Netherlands Antilles,2024,0,0,0
Nicaragua,2024,0,0,0
Niger,2024,0,0,0
Nigeria,2024,0,0,0
North Korea,2024,0,1,4
Oman,2024,0,0,0
Palau,2024,0,0,0
Palestine,2024,0,0,0
Papua New Guinea,2024,0,0,0
Paraguay,2024,0,0,0
Rwanda,2024,0,0,0
Saint Kitts and Nevis,2024,0,0,0
Saint Lucia,2024,1,0,1
Saint Vincent and the Grenadines,2024,0,0,0
Samoa,2024,0,0,0
San Marino,2024,0,0,0
Sao Tome and Princip,2024,0,0,0
Saudi Arabia,2024,0,0,0
Senegal,2024,0,0,0
Serbia and Montenegro,2024,0,0,0
Seychelles,2024,0,0,0
Sierra Leone,2024,0,0,0
Somalia,2024,0,0,0
South Sudan,2024,0,0,0
Soviet Union,2024,0,0,0
Sri Lanka,2024,0,0,0
Sudan,2024,0,0,0
Suriname,2024,0,0,0
Swaziland,2024,0,0,0
Syria,2024,0,0,0
Tanzania,2024,0,0,0
Togo,2024,0,0,0
Tonga,2024,0,0,0
Trinidad and Tobago,2024,0,0,0
Tuvalu,2024,0,0,0
United Arab Emirates,2024,0,0,0
Uruguay,2024,0,0,0
Vanuatu,2024,0,0,0
Vietnam,2024,0,0,0
Virgin Islands,2024,0,0,0
West Germany,2024,0,0,0
Yemen,2024,0,0,0
Yugoslavia,2024,0,0,0
Yugoslaviaoslavia,2024,0,0,0
Zimbabwe,2024,0,0,0
the Solomon,2024,0,0,0
United States,2028,44,40,45
China,2028,36,35,22
Great Britain,2028,25,17,20
Japan,2028,22,14,16
Australia,2028,20,10,19
Netherlands,2028,15,14,14
Italy,2028,13,10,17
France,2028,12,12,18
New Zealand,2028,12,10,17
Germany,2028,11,13,16
South Korea,2028,10,8,12
Brazil,2028,4,5,18
Spain,2028,6,11,11
Canada,2028,6,5,9
Hungary,2028,5,9,7
Sweden,2028,5,6,3
Belgium,2028,5,5,4
Poland,2028,4,5,8
Norway,2028,3,5,4
Croatia,2028,3,4,2
Argentina,2028,3,3,2
Serbia,2028,3,2,5
Denmark,2028,2,6,4
Ukraine,2028,2,5,9
Portugal,2028,2,5,2
Cuba,2028,2,4,8
Egypt,2028,2,4,7
Bahrain,2028,2,4,3
Israel,2028,2,4,3
Greece,2028,2,4,2
Kazakhstan,2028,2,4,2
Georgia,2028,2,3,5
Azerbaijan,2028,2,3,3
Ecuador,2028,2,3,3
Botswana,2028,2,3,2
Chinese Taipei,2028,2,3,2
Ireland,2028,2,3,2
Jamaica,2028,2,3,2
Kenya,2028,2,3,2
Slovenia,2028,2,3,2
Switzerland,2028,2,3,2
Morocco,2028,2,3,1
Romania,2028,2,2,4
Algeria,2028,2,2,2
Austria,2028,2,2,2
Chile,2028,2,2,2
Ethiopia,2028,2,2,2
Hong Kong,2028,2,2,2
Philippines,2028,2,2,2
Uzbekistan,2028,2,1,2
Czech Republic,2028,2,0,2
South Africa,2028,1,3,2
Bulgaria,2028,1,2,4
Indonesia,2028,1,2,2
Tunisia,2028,1,2,2
Pakistan,2028,1,2,1
Saint Lucia,2028,1,2,1
Uganda,2028,1,2,1
Iran,2028,1,1,2
Guatemala,2028,1,1,1
Armenia,2028,0,2,3
Colombia,2028,0,2,3
India,2028,0,2,3
Kyrgyzstan,2028,0,2,3
Moldova,2028,0,2,3
Turkey,2028,0,2,3
Ethiopia,2028,0,2,2
Jordan,2028,0,2,2
Malaysia,2028,0,2,2
North Korea,2028,0,2,2
Puerto Rico,2028,0,2,2
Thailand,2028,0,2,2
Mexico,2028,0,2,1
Albania,2028,0,1,3
Dominican Republic,2028,0,1,2
Tajikistan,2028,0,1,2
Cyprus,2028,0,1,1
Finland,2028,0,1,1
Singapore,2028,0,1,1
Zambia,2028,0,1,1
Kosovo,2028,0,1,0
Mongolia,2028,0,0,2
Peru,2028,0,0,2
Slovakia,2028,0,0,2
Qatar,2028,0,0,1
Fiji,2028,0,0,1
Afghanistan,2028,0,0,0
Andorra,2028,0,0,0
Angola,2028,0,1,3
Antigua and Barbuda,2028,0,0,0
Aruba,2028,0,0,0
Australasia,2028,0,0,0
Bahamas,2028,0,0,0
Bangladesh,2028,0,0,0
Barbados,2028,0,0,0
Belarus,2028,0,0,0
Belize,2028,0,0,0
Benin,2028,0,0,0
Bermuda,2028,0,0,0
Bhutan,2028,0,0,0
Bohemia,2028,0,0,0
Bolivia,2028,0,0,0
Bosnia and Herzegovina,2028,0,0,0
Brunei Darussalam,2028,0,0,0
Burkina Faso,2028,0,0,0
Burkina Fasoundi,2028,0,0,0
Cambodia,2028,0,0,0
Cameroon,2028,0,0,0
Cayman Islands,2028,0,0,0
Central AfriCanada Republic,2028,0,0,0
Chad,2028,0,0,0
Comoros,2028,0,0,0
Congo,2028,0,0,0
Cook Islands,2028,0,0,0
Costa Rica,2028,0,0,0
Cote d'Ivoire,2028,0,0,0
Czech Republic,2028,0,0,0
Djibouti,2028,0,0,0
EUN,2028,0,0,0
East Germany,2028,0,0,0
East Timor,2028,0,0,0
El Salvador,2028,0,0,0
Equatorial Guinea,2028,0,0,0
Eritrea,2028,0,0,0
Estonia,2028,0,0,0
Ghana,2028,0,0,0
Grenada,2028,0,0,0
Guam,2028,0,0,0
Guinea,2028,0,0,0
Guinea Bissau,2028,0,0,0
Guyana,2028,0,0,0
Haiti,2028,0,0,0
Honduras,2028,0,0,0
Iceland,2028,0,0,0
Iraq,2028,0,0,0
Kiribati,2028,0,0,0
Kuwait,2028,0,0,0
Laos,2028,0,0,0
Latvia,2028,0,0,0
Lebanon,2028,0,0,0
Lesotho,2028,0,0,0
Liberia,2028,0,0,0
Libya,2028,0,0,0
Liechtenstein,2028,0,0,0
Lithuania,2028,0,0,0
Luxembourg,2028,0,0,2
Macedonia,2028,0,0,0
Madagascar,2028,0,0,0
Malawi,2028,0,0,0
Maldives,2028,0,0,0
Mali,2028,0,0,0
Malta,2028,0,0,0
Marshall Islands,2028,0,0,0
Mauritania,2028,0,0,0
Mauritius,2028,0,0,0
Micronesia,2028,0,0,0
Monaco,2028,0,0,0
Montenegro,2028,0,0,0
Mozambique,2028,0,0,0
Myanmar,2028,0,0,0
Namibia,2028,0,0,0
Nauru,2028,0,0,0
Nepal,2028,0,0,0
Netherlands Antilles,2028,0,0,0
Nicaragua,2028,0,0,0
Niger,2028,0,0,0
Nigeria,2028,0,0,0
Oman,2028,0,0,0
Palau,2028,0,0,0
Palestine,2028,0,0,1
Papua New Guinea,2028,0,0,0
Paraguay,2028,0,0,0
Russia,2028,0,0,0
Rwanda,2028,0,0,0
Saint Kitts and Nevis,2028,0,0,0
Saint Vincent and the Grenadines,2028,0,0,0
Samoa,2028,0,0,3
San Marino,2028,0,0,0
Sao Tome and Princip,2028,0,0,0
Saudi Arabia,2028,0,0,0
Senegal,2028,0,0,0
Serbia and Montenegro,2028,0,0,0
Seychelles,2028,0,0,0
Sierra Leone,2028,0,0,0
Somalia,2028,0,0,0
South Sudan,2028,0,0,0
Soviet Union,2028,0,0,0
Sri Lanka,2028,0,0,0
Sudan,2028,0,0,0
Suriname,2028,0,0,0
Swaziland,2028,0,0,0
Syria,2028,0,0,0
Tanzania,2028,0,0,0
Togo,2028,0,0,0
Tonga,2028,0,0,0
Trinidad and Tobago,2028,0,0,0
Turkmenistan,2028,0,0,0
Tuvalu,2028,0,0,0
United Arab Emirates,2028,0,0,0
Uruguay,2028,0,0,0
Vanuatu,2028,0,0,0
Venezuela,2028,0,0,0
Vietnam,2028,0,0,0
Virgin Islands,2028,0,0,0
West Germany,2028,0,0,0
Yemen,2028,0,0,0
Yugoslavia,2028,0,0,0
Yugoslaviaoslavia,2028,0,0,0
Zimbabwe,2028,0,0,0
the Solomon,2028,0,0,0
Cabo Verde,2028,0,0,0
Dominican Republic,2028,0,0,0
Panama,2028,0,0,0
Gabon,2028,0,0,0
Gambia,2028,0,0,0
